site,long,lat,display,species
BDFH,108.45,11.9667,Bidoup,Fokienia hodginsii
KKFH,108.1822048,14.914363,Kon Ka Kinh,Fokienia hodginsii
QNFH,107.33113,15.80781,Quang Nam,Fokienia hodginsii
MCFH,104.06,21.4,Mu Cang Chai,Fokienia hodginsii
PMFH,104.85,19.06,Pu Mat,Fokienia hodginsii
Kirirom,104.1,11.95,Kirirom,Pinus merkusii
San Luang,97.93,19.1,San Luang,Pinus merkusii
Wat Chan,98.233,19.0167,Wat Chan,Pinus merkusii
Phu Toei,99.4333,14.9833,Phu Toei,Pinus merkusii
Nam Nao,101.5667,16.7333,Nam Nao,Pinus merkusii
Phu Kradung,101.8833,16.9,Phu Kradung,Pinus merkusii
Salaeng Luong,100.55,16.75,Salaeng Luang,Pinus merkusii
Wieng Haeng,98.635556,19.559444,Wiang Haeng,Pinus merkusii
Laos pine,102.785,18.31835,Phou Khao Khouay ,Pinus merkusii
Petchaburi,99.56,12.96,Petchaburi,Pinus merkusii
Pha Taem,105,15.7,Pha Taem,Pinus merkusii
Chin Hills,93.496,22.167,Chin Hills,Pinus kesiya
MRF,96.2,23.2,Maingtha,Tectona grandis
MHS,98.9333,19.2833,Mae Hong Son,Tectona grandis
KHDF,106.044793,22.2494345,Kim Hy,Pseudotsuga sinensis
